rank,acronym,cpu,cpu_race_quarter_weighting,ram,ram_race_quarter_weighting,hydraulic,hydraulic_race_quarter_weighting,chance_guarantee,total_race_quarter_weighting,total_race_weight,avg_race_weight
1,GCM,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.00(1.83),1.825,0.608
2,CCM,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.50(1.30),1.8,0.6
3,GGM,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.00(1.675),1.675,0.558
4,CGM,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.50(1.15),1.65,0.55
5,DCM,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.25/0.00/0.00/0.00(1.30),1.55,0.517
6,MCM,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.16/0.00/0.00(1.30),1.46,0.487
7,GCG,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.38(1.08),1.45,0.483
8,GDM,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.16/0.00/0.00/0.00(1.275),1.435,0.478
9,GMM,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.16(1.275),1.435,0.478
10,CCG,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.88(0.55),1.425,0.475
11,CDM,crimson,0.0/0.0/0.0/0.50(0.0),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.16/0.00/0.00/0.50(0.75),1.41,0.47
12,CMM,crimson,0.0/0.0/0.0/0.50(0.0),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.00/0.00/0.66(0.75),1.41,0.47
13,DGM,darklight,0.25/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.25/0.00/0.00/0.00(1.15),1.4,0.467
14,VCM,void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.0/0.0(0.55),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.01/0.01/0.01(1.30),1.34,0.447
15,GVM,gxcore,0.0/0.0/0.0/0.0(0.525),void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.01/0.01/0.01(1.275),1.315,0.438
16,MGM,midnight,0.0/0.16/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.16/0.00/0.00(1.15),1.31,0.437
17,GGG,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.38(0.925),1.3,0.433
18,CVM,crimson,0.0/0.0/0.0/0.50(0.0),void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.01/0.01/0.51(0.75),1.29,0.43
19,CGG,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.88(0.40),1.275,0.425
20,VGM,void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.01/0.01/0.01(1.15),1.19,0.397
21,DCG,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.25/0.00/0.00/0.38(0.55),1.175,0.392
22,DDM,darklight,0.25/0.0/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.41/0.00/0.00/0.00(0.75),1.16,0.387
23,DMM,darklight,0.25/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.25/0.00/0.00/0.16(0.75),1.16,0.387
24,GCC,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.00/0.04/0.04(1.08),1.155,0.385
25,GCD,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.04/0.00/0.00(1.08),1.155,0.385
26,CCC,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.00/0.04/0.54(0.55),1.13,0.377
27,CCD,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.04/0.00/0.50(0.55),1.13,0.377
28,GCV,gxcore,0.0/0.0/0.0/0.0(0.525),crimson,0.0/0.0/0.0/0.0(0.55),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.01/0.01/0.01(1.08),1.115,0.372
29,CCV,crimson,0.0/0.0/0.0/0.50(0.0),crimson,0.0/0.0/0.0/0.0(0.55),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.01/0.01/0.51(0.55),1.09,0.363
30,MCG,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.16/0.00/0.38(0.55),1.085,0.362
31,MDM,midnight,0.0/0.16/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.16/0.16/0.00/0.00(0.75),1.07,0.357
32,MMM,midnight,0.0/0.16/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.00/0.16/0.00/0.16(0.75),1.07,0.357
33,GDG,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.16/0.00/0.00/0.38(0.525),1.06,0.353
34,GMG,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.00/0.00/0.54(0.525),1.06,0.353
35,DVM,darklight,0.25/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.26/0.01/0.01/0.01(0.75),1.04,0.347
36,CDG,crimson,0.0/0.0/0.0/0.50(0.0),darklight,0.16/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.16/0.00/0.00/0.88(0.0),1.035,0.345
37,CMG,crimson,0.0/0.0/0.0/0.50(0.0),midnight,0.0/0.0/0.0/0.16(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.00/0.00/0.00/1.04(0.0),1.035,0.345
38,DGG,darklight,0.25/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.25/0.00/0.00/0.38(0.40),1.025,0.342
39,GGC,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.00/0.04/0.04(0.925),1.005,0.335
40,GGD,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.04/0.00/0.00(0.925),1.005,0.335
41,CGC,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.00/0.04/0.54(0.40),0.98,0.327
42,CGD,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.04/0.00/0.50(0.40),0.98,0.327
43,GGV,gxcore,0.0/0.0/0.0/0.0(0.525),gxcore,0.0/0.0/0.0/0.0(0.4),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.01/0.01/0.01(0.925),0.965,0.322
44,VCG,void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.0/0.0(0.55),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.01/0.01/0.01/0.39(0.55),0.965,0.322
45,MVM,midnight,0.0/0.16/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.17/0.01/0.01(0.75),0.95,0.317
46,VDM,void,0.01/0.01/0.01/0.01(0.0),darklight,0.16/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.17/0.01/0.01/0.01(0.75),0.95,0.317
47,VMM,void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.16(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.01/0.01/0.01/0.17(0.75),0.95,0.317
48,CGV,crimson,0.0/0.0/0.0/0.50(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.01/0.01/0.51(0.40),0.94,0.313
49,GVG,gxcore,0.0/0.0/0.0/0.0(0.525),void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.01/0.01/0.01/0.39(0.525),0.94,0.313
50,MGG,midnight,0.0/0.16/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.00/0.16/0.00/0.38(0.4),0.935,0.312
51,CVG,crimson,0.0/0.0/0.0/0.50(0.0),void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.01/0.01/0.01/0.89(0.0),0.915,0.305
52,DCC,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.25/0.00/0.04/0.04(0.55),0.88,0.293
53,DCD,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.29/0.04/0.00/0.00(0.55),0.88,0.293
54,DCV,darklight,0.25/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),void,0.01/0.01/0.01/0.01(0.0),chance,0.26/0.01/0.01/0.01(0.55),0.84,0.28
55,VVM,void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.0(0.75),chance,0.02/0.02/0.02/0.02(0.75),0.83,0.277
56,VGG,void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),gxcore,0.0/0.0/0.0/0.375(0.0),chance,0.01/0.01/0.01/0.39(0.4),0.815,0.272
57,MCC,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.16/0.04/0.04(0.55),0.79,0.263
58,MCD,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.20/0.00/0.00(0.55),0.79,0.263
59,DDG,darklight,0.25/0.0/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.41/0.00/0.00/0.38(0.0),0.785,0.262
60,DMG,darklight,0.25/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.25/0.00/0.00/0.54(0.0),0.785,0.262
61,GDC,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.16/0.00/0.04/0.04(0.525),0.765,0.255
62,GDD,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.20/0.04/0.00/0.00(0.525),0.765,0.255
63,GMC,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.00/0.04/0.20(0.525),0.765,0.255
64,GMD,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.04/0.00/0.16(0.525),0.765,0.255
65,MCV,midnight,0.0/0.16/0.0/0.0(0.0),crimson,0.0/0.0/0.0/0.0(0.55),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.17/0.01/0.01(0.55),0.75,0.25
66,CDC,crimson,0.0/0.0/0.0/0.50(0.0),darklight,0.16/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.16/0.00/0.04/0.54(0.0),0.74,0.247
67,CDD,crimson,0.0/0.0/0.0/0.50(0.0),darklight,0.16/0.0/0.0/0.0(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.20/0.04/0.00/0.50(0.0),0.74,0.247
68,CMC,crimson,0.0/0.0/0.0/0.50(0.0),midnight,0.0/0.0/0.0/0.16(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.00/0.00/0.04/0.70(0.0),0.74,0.247
69,CMD,crimson,0.0/0.0/0.0/0.50(0.0),midnight,0.0/0.0/0.0/0.16(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.04/0.04/0.00/0.66(0.0),0.74,0.247
70,DGC,darklight,0.25/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.25/0.00/0.04/0.04(0.40),0.73,0.243
71,DGD,darklight,0.25/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.29/0.04/0.00/0.00(0.40),0.73,0.243
72,GDV,gxcore,0.0/0.0/0.0/0.0(0.525),darklight,0.16/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),chance,0.17/0.01/0.01/0.01(0.525),0.725,0.242
73,GMV,gxcore,0.0/0.0/0.0/0.0(0.525),midnight,0.0/0.0/0.0/0.16(0.0),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.01/0.01/0.17(0.525),0.725,0.242
74,CDV,crimson,0.0/0.0/0.0/0.50(0.0),darklight,0.16/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.17/0.01/0.01/0.51(0.0),0.7,0.233
75,CMV,crimson,0.0/0.0/0.0/0.50(0.0),midnight,0.0/0.0/0.0/0.16(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.01/0.01/0.01/0.67(0.0),0.7,0.233
76,MDG,midnight,0.0/0.16/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.16/0.16/0.00/0.38(0.0),0.695,0.232
77,MMG,midnight,0.0/0.16/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.00/0.16/0.00/0.54(0.0),0.695,0.232
78,DGV,darklight,0.25/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.40),void,0.01/0.01/0.01/0.01(0.0),chance,0.26/0.01/0.01/0.01(0.40),0.69,0.23
79,VCC,void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.0/0.0(0.55),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.01/0.01/0.05/0.05(0.55),0.67,0.223
80,VCD,void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.0/0.0(0.55),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.05/0.05/0.01/0.01(0.55),0.67,0.223
81,DVG,darklight,0.25/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.26/0.01/0.01/0.39(0.0),0.665,0.222
82,GVC,gxcore,0.0/0.0/0.0/0.0(0.525),void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.01/0.01/0.05/0.05(0.525),0.645,0.215
83,GVD,gxcore,0.0/0.0/0.0/0.0(0.525),void,0.01/0.01/0.01/0.01(0.0),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.05/0.05/0.01/0.01(0.525),0.645,0.215
84,MGC,midnight,0.0/0.16/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.00/0.16/0.04/0.04(0.4),0.64,0.213
85,MGD,midnight,0.0/0.16/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.04/0.20/0.00/0.00(0.4),0.64,0.213
86,VCV,void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.0/0.0(0.55),void,0.01/0.01/0.01/0.01(0.0),chance,0.02/0.02/0.02/0.02(0.55),0.63,0.21
87,CVC,crimson,0.0/0.0/0.0/0.50(0.0),void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.01/0.01/0.05/0.55(0.0),0.62,0.207
88,CVD,crimson,0.0/0.0/0.0/0.50(0.0),void,0.01/0.01/0.01/0.01(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.05/0.05/0.01/0.51(0.0),0.62,0.207
89,GVV,gxcore,0.0/0.0/0.0/0.0(0.525),void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),chance,0.02/0.02/0.02/0.02(0.525),0.605,0.202
90,MGV,midnight,0.0/0.16/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),void,0.01/0.01/0.01/0.01(0.0),chance,0.01/0.17/0.01/0.01(0.4),0.6,0.2
91,CVV,crimson,0.0/0.0/0.0/0.50(0.0),void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.02/0.02/0.02/0.52(0.0),0.58,0.193
92,MVG,midnight,0.0/0.16/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.01/0.17/0.01/0.39(0.0),0.575,0.192
93,VDG,void,0.01/0.01/0.01/0.01(0.0),darklight,0.16/0.0/0.0/0.0(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.17/0.01/0.01/0.39(0.0),0.575,0.192
94,VMG,void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.16(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.01/0.01/0.01/0.55(0.0),0.575,0.192
95,VGC,void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),crimson,0.0/0.0/0.04/0.04(0.0),chance,0.01/0.01/0.05/0.05(0.4),0.52,0.173
96,VGD,void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),darklight,0.04/0.04/0.0/0.0(0.0),chance,0.05/0.05/0.01/0.01(0.4),0.52,0.173
97,DDC,darklight,0.25/0.0/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.41/0.00/0.04/0.04(0.0),0.49,0.163
98,DDD,darklight,0.25/0.0/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.45/0.04/0.00/0.00(0.0),0.49,0.163
99,DMC,darklight,0.25/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.25/0.00/0.04/0.20(0.0),0.49,0.163
100,DMD,darklight,0.25/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.29/0.04/0.00/0.16(0.0),0.49,0.163
101,VGV,void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.0(0.4),void,0.01/0.01/0.01/0.01(0.0),chance,0.02/0.02/0.02/0.02(0.4),0.48,0.16
102,VVG,void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),gxcore,0.0/0.0/0.0/0.375(0.0),100%,0.02/0.02/0.02/0.40(0.0),0.455,0.152
103,DDV,darklight,0.25/0.0/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.42/0.01/0.01/0.01(0.0),0.45,0.15
104,DMV,darklight,0.25/0.0/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.26/0.01/0.01/0.17(0.0),0.45,0.15
105,MDC,midnight,0.0/0.16/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.16/0.16/0.04/0.04(0.0),0.4,0.133
106,MDD,midnight,0.0/0.16/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.20/0.20/0.00/0.00(0.0),0.4,0.133
107,MMC,midnight,0.0/0.16/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.00/0.16/0.04/0.20(0.0),0.4,0.133
108,MMD,midnight,0.0/0.16/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.04/0.20/0.00/0.16(0.0),0.4,0.133
109,DVC,darklight,0.25/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.26/0.01/0.05/0.05(0.0),0.37,0.123
110,DVD,darklight,0.25/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.30/0.05/0.01/0.01(0.0),0.37,0.123
111,MDV,midnight,0.0/0.16/0.0/0.0(0.0),darklight,0.16/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.17/0.17/0.01/0.01(0.0),0.36,0.12
112,MMV,midnight,0.0/0.16/0.0/0.0(0.0),midnight,0.0/0.0/0.0/0.16(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.01/0.17/0.01/0.17(0.0),0.36,0.12
113,DVV,darklight,0.25/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.27/0.02/0.02/0.02(0.0),0.33,0.11
114,MVC,midnight,0.0/0.16/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.01/0.17/0.05/0.05(0.0),0.28,0.093
115,MVD,midnight,0.0/0.16/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.05/0.21/0.01/0.01(0.0),0.28,0.093
116,VDC,void,0.01/0.01/0.01/0.01(0.0),darklight,0.16/0.0/0.0/0.0(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.17/0.01/0.05/0.05(0.0),0.28,0.093
117,VDD,void,0.01/0.01/0.01/0.01(0.0),darklight,0.16/0.0/0.0/0.0(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.21/0.05/0.01/0.01(0.0),0.28,0.093
118,VMC,void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.16(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.01/0.01/0.05/0.21(0.0),0.28,0.093
119,VMD,void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.16(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.05/0.05/0.01/0.17(0.0),0.28,0.093
120,MVV,midnight,0.0/0.16/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.02/0.18/0.02/0.02(0.0),0.24,0.08
121,VDV,void,0.01/0.01/0.01/0.01(0.0),darklight,0.16/0.0/0.0/0.0(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.18/0.02/0.02/0.02(0.0),0.24,0.08
122,VMV,void,0.01/0.01/0.01/0.01(0.0),midnight,0.0/0.0/0.0/0.16(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.02/0.02/0.02/0.18(0.0),0.24,0.08
123,VVC,void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),crimson,0.0/0.0/0.04/0.04(0.0),100%,0.02/0.02/0.06/0.06(0.0),0.16,0.053
124,VVD,void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),darklight,0.04/0.04/0.0/0.0(0.0),100%,0.06/0.06/0.02/0.02(0.0),0.16,0.053
125,VVV,void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),void,0.01/0.01/0.01/0.01(0.0),100%,0.03/0.03/0.03/0.03(0.0),0.12,0.04